web-scraper-order,web-scraper-start-url,link,link-href
"1663706968-430","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/housevitamin-bv/home-living"
"1663706968-431","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/christmas-world-by-mondex/home-living"
"1663706968-432","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/woodyz%20design/home-living"
"1663706968-433","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/versa-home/home-living"
"1663706968-434","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/alexandra-meti/home-living"
"1663706968-435","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/dogs-in-the-city/home-living"
"1663706968-436","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/Sawrasko/home-living"
"1663706968-437","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/HSM%20Collection/home-living"
"1663706968-438","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/nufnuf/home-living"
"1663706968-439","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/ab-skinnwille/home-living"
"1663706968-440","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/sellerx-commerce-gmbh/home-living"
"1663706968-441","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/WOOOL/home-living"
"1663706968-442","https://www.orderchamp.com/nl/marketplace/home-living?filters=new-brands","","https://www.orderchamp.com/nl/store/albatros-srl/home-living"
